1,176.64238799759752,177.17123716840433,176.11353882679072,297.304342946363,298.4254969788596,296.18318891386645
2,184.29519526101262,184.66655041079517,183.92384011123008,277.23212694084765,278.3261621939308,276.1380916877645
3,226.67657211753635,227.07327453679792,226.27986969827478,334.150267825555,335.4929394415453,332.8075962095647
4,279.209261737746,279.5378653543769,278.88065812111506,419.6312049651915,420.82857901085345,418.43383091952956
5,336.69245877210375,337.0403671282382,336.3445504159693,514.9557123355638,516.2448881784068,513.6665364927209
6,396.65837205394735,397.013461282378,396.3032828255167,613.9677412024097,615.4371786653797,612.4983037394396
7,458.1230215987797,458.5062487505155,457.7397944470439,714.527889196302,716.2345442003243,712.8212341922797
8,520.4929301041118,520.9143612113055,520.0714989969181,815.7350417519021,817.6797434907961,813.7903400130082
9,583.3954470714618,583.8518166856152,582.9390774573085,917.2151699860449,919.3916671562561,915.0386728158337
10,646.6774931435486,647.1758024547214,646.1791838323759,1018.8590546590116,1021.2807997536863,1016.4373095643368
